,username,datetime,comment,likes,url
72,the_notorious_wallace2,2021-04-22T08:49:04.000Z,❤️,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
73,1080slatt,2021-04-22T14:05:25.000Z,orange JUICE !!,1 like,https://www.instagram.com/p/B79cmW0J1SN/
74,dennis1sinned,2021-04-23T13:23:42.000Z,❤️👍🇮🇹,1 like,https://www.instagram.com/p/B79cmW0J1SN/
75,agassifabulouslife,2021-04-27T02:32:17.000Z,🙏🏽♥️♥️♥️♥️♥️♥️♥️,Reply,https://www.instagram.com/p/B79cmW0J1SN/
76,luvu21omg,2021-04-29T05:11:38.000Z,Rip DA 🐐🏀,Reply,https://www.instagram.com/p/B79cmW0J1SN/
77,nolimit.marco23,2021-04-29T12:16:59.000Z,This song and just thinking back and now Kobe is gone rest in power mamba 💯,1 like,https://www.instagram.com/p/B79cmW0J1SN/
78,malsawma._.pisces_,2021-04-29T17:43:13.000Z,RIP Kobe 😢😢😢,Reply,https://www.instagram.com/p/B79cmW0J1SN/
79,susanw.hall,2021-04-30T03:35:04.000Z,"When I hear his voice, he sounds like he is always here.",3 likes,https://www.instagram.com/p/B79cmW0J1SN/
80,natalia_kirklan,2021-04-30T13:03:51.000Z,Wish he was here to see himself be inducted into the hall of fame because dang he deserved that 😢,5 likes,https://www.instagram.com/p/B79cmW0J1SN/
81,jayt0ven,2021-04-30T18:58:40.000Z,🍊,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
82,nas.stackzz,2021-05-01T08:26:23.000Z,Old 2k days 🥺🥺🥺,Reply,https://www.instagram.com/p/B79cmW0J1SN/
83,t.krmn_73,2021-05-01T15:20:14.000Z,REST İN PEACE 😢😢😢😢,Reply,https://www.instagram.com/p/B79cmW0J1SN/
84,darkskiin__badiiee,2021-04-07T02:07:13.000Z,🙏🏾❤️,Reply,https://www.instagram.com/p/B79cmW0J1SN/
85,200525days,2021-04-11T14:43:26.000Z,❤️❤️❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B79cmW0J1SN/
86,pami_rochanij,2021-04-12T09:11:30.000Z,❤,Reply,https://www.instagram.com/p/B79cmW0J1SN/
87,erikaariane80,2021-04-15T08:45:10.000Z,Meu Deus q gato 😍😍😍,Reply,https://www.instagram.com/p/B79cmW0J1SN/
88,cal_emitch,2021-04-15T14:33:59.000Z,🔥🔥🔥🔥🔥,Reply,https://www.instagram.com/p/B79cmW0J1SN/
89,limitededition_billionaires,2021-04-15T20:47:56.000Z,👏👏👏👏,1 like,https://www.instagram.com/p/B79cmW0J1SN/
90,limitededition_billionaires,2021-04-15T20:48:04.000Z,Excellence,Reply,https://www.instagram.com/p/B79cmW0J1SN/
91,fulmernoah,2021-04-16T02:52:42.000Z,Rip Kobe,Reply,https://www.instagram.com/p/B79cmW0J1SN/
92,david_hernandex24,2021-04-17T22:03:19.000Z,❤️,1 like,https://www.instagram.com/p/B79cmW0J1SN/
93,317_santa,2021-04-19T01:43:45.000Z,"I remember everytime going back to 2k17 and making a new career just to here ""welcome to NBA 2k17 my career, enjoy"" it was my favorite, fly high kobe",11 likes,https://www.instagram.com/p/B79cmW0J1SN/
94,badass_boosie_hooligan_5x,2021-04-19T15:34:19.000Z,#mambaforever🙌😢,1 like,https://www.instagram.com/p/B79cmW0J1SN/
95,manuelmalaga,2021-04-21T05:30:11.000Z,👏,Reply,https://www.instagram.com/p/B79cmW0J1SN/
96,lil_russ1,2021-03-31T11:44:18.000Z,BEST 2k man 😢,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
97,samfrmdawicc,2021-04-02T18:42:09.000Z,Best 2k intro,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
98,very_soonnn,2021-04-03T03:55:46.000Z,“Good or bad wins or losses”rip legend! Legend lives on🙌,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
99,dylfnp,2021-04-03T19:43:55.000Z,Classic 🥺,1 like,https://www.instagram.com/p/B79cmW0J1SN/
100,912_shun,2021-04-04T15:29:21.000Z,Best game 🔥,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
101,ms_holloway,2021-04-04T22:48:55.000Z,🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B79cmW0J1SN/
102,ms_holloway,2021-04-04T22:49:00.000Z,Miss him,Reply,https://www.instagram.com/p/B79cmW0J1SN/
103,mrs.bobbert,2021-04-05T03:31:29.000Z,The GOAT KB❤️👏🏾🔥,Reply,https://www.instagram.com/p/B79cmW0J1SN/
104,simplydayna,2021-04-05T05:55:29.000Z,❤️❤️❤️❤️❤️❤️,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
105,dvonrose,2021-04-05T06:44:50.000Z,🔥🔥🔥,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
106,templebuildinga,2021-04-06T19:49:59.000Z,WORD UP #KOBE #BLACKMAMBA 🙌🏾🙌🏾 🙌🏾 👏🏾👏🏾 👏🏾 💪🏾 💪🏾 💪🏾,1 like,https://www.instagram.com/p/B79cmW0J1SN/
107,_amanda_god_child_,2021-04-06T23:29:15.000Z,Still missing Kobe and Gigi everyday😢😢😢😢You rest legend you just rest😢 #mambaout ❤️ #mambamentality #mambacita,1 like,https://www.instagram.com/p/B79cmW0J1SN/
108,juannymakk,2021-03-22T15:35:02.000Z,🐐💙🕊,1 like,https://www.instagram.com/p/B79cmW0J1SN/
109,wizdome89,2021-03-22T18:56:04.000Z,And this was the best 2k,11 likes,https://www.instagram.com/p/B79cmW0J1SN/
110,ljuljdjuraj,2021-03-23T05:00:25.000Z,Oh Kobe 😭☹️,1 like,https://www.instagram.com/p/B79cmW0J1SN/
111,thommore,2021-03-24T11:16:54.000Z,💔💔💔,Reply,https://www.instagram.com/p/B79cmW0J1SN/
112,luccademuniz,2021-03-25T14:45:57.000Z,Basquetebol my good 🔥😢,Reply,https://www.instagram.com/p/B79cmW0J1SN/
113,msunderstood24k,2021-03-25T15:01:51.000Z,Why have I never seen this 😢,Reply,https://www.instagram.com/p/B79cmW0J1SN/
114,yando.4x,2021-03-27T00:25:20.000Z,🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽😭💔💔💔💔💔💔💔💔,Reply,https://www.instagram.com/p/B79cmW0J1SN/
115,silvaeast,2021-03-28T23:29:02.000Z,best 2k for a reason 😢,6 likes,https://www.instagram.com/p/B79cmW0J1SN/
