,username,datetime,comment,likes,url
14866,cortez7222,2020-05-19T11:11:50.000Z,Very true.🥺,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14867,nicolevieu,2020-05-19T11:19:15.000Z,"I was honored to be part of the live gallery audience! Thank you for including everyone, not just ambassadors!  Gave me the motivation to get focussed and press that restart button!",Reply,https://www.instagram.com/p/CAWazQQBoV9/
14868,shmmrox,2020-05-19T11:19:32.000Z,I really enjoyed this. It brought some normalcy back into my life. 🙏🏻❤️,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14869,joshua.blalock,2020-05-19T11:23:59.000Z,😂,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14870,diana_jepsen,2020-05-19T11:27:10.000Z,"@katehudson love that saying ‘tag you’re it’ when you need that space, support and love to get",Reply,https://www.instagram.com/p/CAWazQQBoV9/
14871,ola_sonbaty_mo,2020-05-19T11:27:10.000Z,👏👏👍,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14872,sheilamontoya82,2020-05-19T11:28:52.000Z,🙌😊,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14873,quencietv,2020-05-19T11:29:56.000Z,Oooooh I love that @therock 💜,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14874,kendrafelvus9,2020-05-19T09:59:12.000Z,I’m watching celine and your old interviews ❤️❤️,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14875,leecronk71,2020-05-19T10:04:02.000Z,One of the only small issues im finding is having rhat time out space to relax. Very difficult to switch off in a relatively small 3 bedroomed house with 2 youngish kids and wife who runs her dance school onlinw from home. You get ba couple of hours late at night and you find yoirswlf sometimes rushing theough rhe day to get that time. Not always the case cos obviously lovw spending time wirh thw kids.. But... Everyone needs that time to take time out.,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14876,lilascoaching,2020-05-19T10:05:41.000Z,❤️❤️❤️❤️,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14877,nakato463,2020-05-19T10:15:37.000Z,❤️❤️👏👏👏👏,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14878,sheikh_simon_786,2020-05-19T10:17:04.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14879,katielgrace2017,2020-05-19T10:18:32.000Z,💛 Kate Hudson’s words,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14880,art2heartartstudio,2020-05-19T10:18:41.000Z,"Hi Oprah , would love some help, I have not spoken to my eldest son for 5 years as I was my own lawyer at family law court, I raised my son from birth, he lived with me, his father was violent to us both , I took it to court , Female Judge awarded me full custody said he could not of had a better mother.. then a male judge changed the orders my son was ordered to see his father , every second weekend he came back home to me with a physical injury... from staying over at his dads... Male Judge did not look into the long history of domestic violence where both me and my son had been hurt.. I lost my case ... I have not seen nor spoken to my beautiful son for 5 years... my background in High a Teacher , I had to leave my job as that son was diagnosed with Autism, 12 years it took me and I got him off the spectrum, I wrote my own program and diet for him , thanks to my education as I had worked with special needs children as a part of my teaching Degree... if u could please help me ... I just need help to afford a lawyer in Australia... I am writing my own book about my life ,, you have been an inspiration to me..., my sons name is River Simmons and I just know all he wants is a hug from his mum.. please help us... Thankyou.. from my heart.",Reply,https://www.instagram.com/p/CAWazQQBoV9/
14881,comidanopapofood,2020-05-19T10:19:36.000Z,🙌,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14882,lkluxus,2020-05-19T10:21:33.000Z,😍😍,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14883,first.andsecond,2020-05-19T10:24:21.000Z,We argued about a baked potato Sunday 😬,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14884,yo0nel,2020-05-19T10:32:34.000Z,Oprah for President sooon !!!@ 😍😍🪂,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14885,zita.gray.98,2020-05-19T10:45:03.000Z,🙏🙏💞💞💞,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14886,liafigueiredobrito,2020-05-19T09:12:33.000Z,♥️,Reply,https://www.instagram.com/p/CAWazQQBoV9/
14887,cherrie_johnson,2020-05-19T09:13:47.000Z,"I loved this, will be participating again on Saturday. Very uplifting!",Reply,https://www.instagram.com/p/CAWazQQBoV9/
14888,lostandnotbeenfound,2020-05-19T09:16:14.000Z,What about your relationship with your parents? It’s already not in a great place and this whole pandemic isn’t only will make my parents wished they never had me. I wish I had someone to tell me it be alright but I know it wont😔,Reply,https://www.instagram.com/p/CAWazQQBoV9/
