,username,datetime,comment,likes,url
70,tillynicklin,2020-07-05T01:10:52.000Z,One year💞,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
71,eyeshakumar,2020-07-05T06:39:16.000Z,HAPPY BIRTHDAY TO THIS ALBUMMMM,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
72,jj._.jennifer,2020-06-28T04:30:44.000Z,what happened to you.,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
73,adri_.cz,2020-06-28T09:56:48.000Z,This shit looks sick 👏,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
74,christiandistef,2020-06-29T00:26:18.000Z,Verified,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
75,lulclintt,2020-06-29T12:54:21.000Z,stream 2Flow by Lul C 🖤,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
76,vlino_homeboy,2020-06-29T15:06:52.000Z,@tsilrah,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
77,rohan_yelwande7559,2020-06-29T16:32:42.000Z,Flop father flop s,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
78,sophiafulbright,2020-06-30T15:26:49.000Z,your music is iconic,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
79,lovinglife2gone,2020-07-02T00:03:56.000Z,🕊!,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
80,yunnggneloo,2020-07-02T09:34:30.000Z,you‘re the most overhyped artist in the states! u just had a famous daddy and nothing more...,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
81,yunnggneloo,2020-07-02T09:35:48.000Z,you‘re a laughingstock in my eyes🤷🏼‍♂️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
82,hakeem2valid,2020-07-03T04:07:45.000Z,🔥🔥🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
83,bmahabq,2020-07-03T11:50:35.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
84,oceansinatra,2020-06-13T08:20:05.000Z,Got it is my fav off of this album,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
85,moonsmart_,2020-06-16T11:22:40.000Z,what for the program,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
86,jerusalem718,2020-06-17T13:13:23.000Z,I don't need and no one will listen to ur album here in my country Ethiopia,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
87,keldoll_,2020-06-18T07:13:09.000Z,Wow pretty beautiful💋,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
88,jylobato,2020-06-19T21:22:37.000Z,💗💗💗💗💗,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
89,imchesnok,2020-06-22T09:36:50.000Z,Что за песня играет?,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
90,itshadiofficial,2020-06-22T10:53:40.000Z,On my own is the best song,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
91,vousmeyoz_,2020-06-22T16:04:17.000Z,@sooyaaa__ 🔥🔥 Kim JISOO MISS KOREA FROM BLACKPINK 🔥🔥🔥🔥🔥🔥🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
92,syethembajaden,2020-06-24T10:53:38.000Z,In Tesla,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
93,mostafahamada1,2020-06-25T19:40:24.000Z,@c.syresmith gay fucking bitch,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
94,mostafahamada1,2020-06-25T19:40:40.000Z,@c.syresmith estargel yala shewaya,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
95,mostafahamada1,2020-06-25T19:41:15.000Z,@c.syresmith da Enta kont el childhood teegi delwa2ty w te2leb shaz ya me3afen,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
96,ace_manthem,2020-05-24T10:27:56.000Z,Jaden u crazy😂💀🔥,5 likes,https://www.instagram.com/p/BzhWoYegjIJ/
97,meli_cakessss,2020-05-25T17:28:47.000Z,Why pink ?!,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
98,arielklk_.666,2020-05-25T21:26:06.000Z,fuck copss,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
99,the_wannabecool_boi,2020-06-01T03:56:57.000Z,What song is this?,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
100,debora_vital,2020-06-01T14:15:57.000Z,♥️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
101,kedha_thegreat.zw,2020-06-05T21:05:35.000Z,🔥🔥🔥🔥🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
102,maryljustine,2020-06-07T17:06:41.000Z,💕💕💕💕💕💕 Js ♥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
103,chriss07__,2020-06-09T00:37:43.000Z,A dia de hoy me sigue encantando,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
104,drewmans,2020-06-09T09:09:26.000Z,I can tell you really don’t relate with us,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
105,yermarlopez89,2020-06-10T04:50:59.000Z,💙💙💙💙,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
106,kenza.kenzi.12382,2020-06-10T09:30:39.000Z,D bih io😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
107,dattfoo42069,2020-06-11T00:15:03.000Z,Trash 💩💩💩,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
108,genilson_chrispim,2020-05-18T16:16:22.000Z,❤️❤️❤️❤️💪 woooow parabéns!!!,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
109,sawceyy,2020-05-19T03:13:27.000Z,My whole heart 🌹,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
110,sawceyy,2020-05-19T03:14:29.000Z,❤️13:27 of vibrational beauty,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
111,dajuicegallery,2020-05-20T23:44:59.000Z,🔥🥤🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
112,fatmah.hassen,2020-05-21T02:08:44.000Z,@fatmah.hassen 🔥❤️👍,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
113,fandisvander,2020-05-21T09:52:22.000Z,🔥🔥 I love this albjm dawg u did gud,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
114,d.enock_mardochee,2020-05-21T11:08:39.000Z,Too good the melody goes straight to thé heart,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
115,basseqmusicofficial,2020-05-21T18:45:09.000Z,Elon musk: hold my vaseline,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
116,cummingsleonard,2020-05-22T17:00:53.000Z,I told em back then look now!!!🌊💪🏿💯,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
117,im_fale,2020-05-23T00:50:26.000Z,iMfale,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
118,oxe_negar,2020-05-23T22:49:59.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
119,claudinha_giliotti,2020-05-24T02:58:20.000Z,💖💖💖💖💖,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
120,darrenmarkstallcup,2020-05-05T19:39:47.000Z,I'm trying to get the girl please help me,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
121,weppaaa_management,2020-05-07T00:08:11.000Z,❤️❤️❤️❤️❤️❤️WEPPPAAAAA,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
122,dava_angel,2020-05-10T04:23:24.000Z,Love it,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
123,jeahrevol,2020-05-10T04:58:55.000Z,Jaden are you okay??,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
124,melody__rose714,2020-05-11T04:53:44.000Z,Why am I just now hearing this.... I most definitely love your vision and message behind all your music. Just the vibe and the high key kodes you be waking me up with 💯💯💯 #104 #confirmation @c.syresmith  Pray to work with you one day!!,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
125,eilinepop,2020-05-12T12:46:48.000Z,"Woooow,👏",Reply,https://www.instagram.com/p/BzhWoYegjIJ/
126,pharaoh.vibes,2020-05-12T15:53:02.000Z,💙💙,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
127,siyamokelo.daba,2020-05-15T06:42:44.000Z,@willowsmith U killed it willow,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
128,migos_young_dagger_dick,2020-05-18T00:10:49.000Z,❤️🔥💦👏😢😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
129,michele_anne.d,2020-05-18T02:53:34.000Z,Wooooooowwww 👏,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
130,alicia_dawn_d,2020-05-18T05:37:32.000Z,STILL play this album every damn day...MASTERPIECE!! ❤️❤️,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
131,kikiilewis,2020-05-18T08:01:57.000Z,💙,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
132,vonchi2011,2020-04-26T21:00:46.000Z,😍qué linda vos eres tan hermoso como tu padre Dios te bendiga y guíe tu camino aveses en otra parte del mundo también nos sentimos solos es ahí donde podemos ver lo mejor de nosotros un abrazo desde Chile 😘🤗🤗,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
133,murilodosantosreal,2020-04-27T16:24:59.000Z,🔥🔥,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
134,_bigstory,2020-04-27T16:25:12.000Z,On replay,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
135,vioxy,2020-04-27T18:53:51.000Z,🔥🔥,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
136,atlasfsy,2020-04-28T10:13:00.000Z,💕💕,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
137,ildefonsocamacho,2020-04-28T10:13:56.000Z,😮😮😊😊,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
138,we.are.re.d,2020-04-28T18:52:25.000Z,@nikaduncan  this sounds quite cool!,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
139,jean_lucas_g,2020-04-29T00:40:15.000Z,🔝🤟🏾,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
140,maameserwaa143,2020-04-29T07:17:39.000Z,😣😣😣😣😣😣,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
141,kellyjoviano,2020-04-30T11:46:33.000Z,Nossa perfeito maravilhoso o vídeo e a música a fumaça rosa 🥰😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
142,____estrela___,2020-04-30T16:40:47.000Z,@phonotique,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
143,emitsx,2020-05-02T00:58:18.000Z,The best album  #sdv #f4f #followme,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
144,christophcilante_,2020-04-19T00:16:01.000Z,I evloved and broke the Chainz,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
145,christophcilante_,2020-04-19T00:16:36.000Z,The evil is real and I a knight of the light against the fourth of the 4 father,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
146,christophcilante_,2020-04-19T00:17:29.000Z,Of 5 I broke the Chainz and do not denie instead I cry and fly fourth a night of the light and fight for fruitfull freedom in which I am alive,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
147,christophcilante_,2020-04-19T00:19:50.000Z,A god within my God  of my odds  I guide my light outside the marriage bending the  rules and spaireing the rod. I blodly  brawl introvert  to explode the fesad,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
148,christophcilante_,2020-04-19T00:20:09.000Z,I know that now,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
149,christophcilante_,2020-04-19T00:21:10.000Z,And I ride a knight and become a bright. In the fight for whats right as a night and a bright I live in the light  and flood  the waves that fold and fight,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
150,christophcilante_,2020-04-19T00:21:48.000Z,I fight for your love and companionship  beyond the evils that astain and restrain your site,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
151,christophcilante_,2020-04-19T00:22:10.000Z,BREATH .,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
152,gabeguys,2020-04-19T21:21:05.000Z,That’s crazy ^,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
153,_d.i.g.i.t.a.l_,2020-04-20T16:36:41.000Z,"Yooooo my g, who ever advised u to do your post like u have is a strait genius,  I haven't ever heard your music til last nite, and had to get the entire album... holly f*k.. it was like it was explaining my entire mood n feeling yesterday.. hope the best for y bro.  Stay safe n God bless 🙏🙏",3 likes,https://www.instagram.com/p/BzhWoYegjIJ/
154,king_of_new_york_and_music,2020-04-22T21:22:17.000Z,Its not a jaden video without a tesla 🤷🏽‍♂️,3 likes,https://www.instagram.com/p/BzhWoYegjIJ/
155,tristonhay,2020-04-24T04:55:15.000Z,Fire 🔥,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
156,sanjay_gucci876,2020-04-09T00:56:08.000Z,👌👏,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
157,teubeon.greene,2020-04-09T21:10:15.000Z,YOU THOUGHT IT WAS OVER ! Can you smell what The Rock is cooking damn damn damn damn damn damn damn damn damn damn damn damn damn damn damn damn,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
158,teubeon.greene,2020-04-09T21:10:27.000Z,We the best another one,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
159,zeev7777,2020-04-10T10:38:06.000Z,А где можно найти эту песню?,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
160,deladem669,2020-04-13T02:16:07.000Z,❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
161,jane.xxtt,2020-04-14T05:55:38.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
162,gaius.ukah,2020-04-14T07:51:12.000Z,Legit bruh🔥🔥🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
163,ihaventgotstimulascheck,2020-04-14T14:43:50.000Z,Release the whole music video pleas,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
164,legisandhisukmarahayu,2020-04-15T14:50:24.000Z,❤️🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
165,helen_anil,2020-04-16T05:03:25.000Z,u are amazing I can’t believe I just realized this,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
166,clout.ronin,2020-04-17T01:32:05.000Z,i-drip-or-is,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
167,christophcilante_,2020-04-19T00:15:47.000Z,I love you and I was gunna kill my self .. till I heard your album. Your voice broke my insanity into my God self . And ie,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
168,josh.dfwu,2020-03-02T09:45:20.000Z,A lot of people are waiting for their merch bro you guys send no confirmations no updates nothing then we get our stuff months later that’s so fucked up Jaden @c.syresmith we’re just a bunch of fans tryna support you.. I literally bought a jacket for somebody as a gift and I’m not Even going to be able to give it to the person now. Thanks a lot. An update on our merch would be nice but if not then shit. That’s cold.,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
169,josh.dfwu,2020-03-02T09:46:41.000Z,Can we get an update for our merch bro @c.syresmith,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
170,josh.dfwu,2020-03-02T09:46:45.000Z,Can we get an update for our merch bro @c.syresmith,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
171,josh.dfwu,2020-03-02T09:46:49.000Z,Can we get an update for our merch bro @c.syresmith,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
172,josh.dfwu,2020-03-02T09:46:54.000Z,Can we get an update for our merch bro @c.syresmith,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
173,_mcfoodies,2020-03-03T14:50:36.000Z,This shit sick🔥🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
174,vurbnk,2020-03-04T22:09:45.000Z,yooo he messed up the erys,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
175,sohkrates,2020-03-05T14:18:30.000Z,When you realise ERYS IS SYRE,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
176,tinounie,2020-03-16T11:29:39.000Z,👏,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
177,yoli_officiale,2020-03-19T00:40:51.000Z,👑👑👑👑,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
178,irene_bradley_,2020-04-03T01:12:55.000Z,❤️❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
179,nixayla_,2020-04-08T00:53:14.000Z,❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
180,tayufernandez,2020-02-08T03:50:32.000Z,💓,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
181,mrssyre_,2020-02-12T21:02:07.000Z,🚀😻💕😻,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
182,mrssyre_,2020-02-12T21:02:09.000Z,🔥🚀💃💕🔥🚀,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
183,deziah21,2020-02-16T19:28:04.000Z,I like  Melody in the beginning of his video,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
184,papi.chulolove,2020-02-19T13:09:09.000Z,Song name,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
185,anixxouss,2020-02-19T18:02:15.000Z,Name song please!!,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
186,ronin6oy,2020-02-21T03:50:49.000Z,this is one of those albums where i wish i could go back in time and hear it for the first time again,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
187,djmortez,2020-02-22T15:07:24.000Z,Amazing album 🔥🔥🔥,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
188,anixxouss,2020-02-27T07:27:40.000Z,@ra9inxx thanks,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
189,marcos_marcosssss,2020-03-01T18:49:11.000Z,👉🏆🏆😮😮,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
