,username,datetime,comment,likes,url
65,corbyn_milam,2020-01-21T07:04:21.000Z,Love you,2 likes,https://www.instagram.com/p/B7kpV-Jl8jr/
66,mohammadmut,2020-01-21T07:09:37.000Z,🔥🔥🔥,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
67,cgsowes,2020-01-21T07:19:33.000Z,🤣Haaa!!!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
68,onetangirl,2020-01-21T07:29:44.000Z,LMAOOO,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
69,teamspeeddemon,2020-01-21T04:16:41.000Z,Suit game is 🔥🔥🔥 @kenjeong,2 likes,https://www.instagram.com/p/B7kPkd5lV91/
70,nolove_wsherrell83473,2020-01-21T04:43:44.000Z,❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7kPkd5lV91/
71,80s_girl_,2020-01-21T05:01:12.000Z,"Love you, Ken 👍",Reply,https://www.instagram.com/p/B7kPkd5lV91/
72,mingmeister808,2020-01-21T05:11:55.000Z,@kenjeong thank you for coming too the blasdell concert hall I had a great time you are so funny please come back again aloha🤙🏾,1 like,https://www.instagram.com/p/B7kPkd5lV91/
73,beskorge,2020-01-21T05:15:13.000Z,Legend!,Reply,https://www.instagram.com/p/B7kPkd5lV91/
74,bossyb808,2020-01-21T05:19:42.000Z,Thanks for making my Saturday nite a great one!!! Now I can die!!!!! 🤣🤣😂🤣😂😂 @kenjeong,5 likes,https://www.instagram.com/p/B7kPkd5lV91/
75,mj_flores209,2020-01-21T05:33:53.000Z,You’re my fav! ❤️,1 like,https://www.instagram.com/p/B7kPkd5lV91/
76,meandering_mischa,2020-01-21T06:20:29.000Z,"Looking fly, Dr Ken",2 likes,https://www.instagram.com/p/B7kPkd5lV91/
77,abbyfrupert_7,2020-01-21T07:34:33.000Z,I was sitting singing the community theme song when this came across my dash,1 like,https://www.instagram.com/p/B7kPkd5lV91/
78,healthykneegrow,2020-01-21T08:27:23.000Z,When u coming back to Raleigh for stand up @kenjeong,1 like,https://www.instagram.com/p/B7kPkd5lV91/
79,andreayi,2020-01-21T10:36:27.000Z,Nice suit!,2 likes,https://www.instagram.com/p/B7kPkd5lV91/
80,chadcantwell5,2020-01-21T10:59:13.000Z,"@kenjeong see you soon in Austin, TX!",Reply,https://www.instagram.com/p/B7kPkd5lV91/
81,live19125,2020-01-21T11:53:34.000Z,💓💖💓💖💓💖,1 like,https://www.instagram.com/p/B7kPkd5lV91/
82,mxrt.l,2020-01-21T12:24:13.000Z,Fck jimmy falon,Reply,https://www.instagram.com/p/B7kPkd5lV91/
83,yvngvein,2020-01-21T12:48:29.000Z,Legendary 🙏🙏🙏,1 like,https://www.instagram.com/p/B7kPkd5lV91/
84,jack_jill_92,2020-01-21T13:35:59.000Z,Love ken❤️,1 like,https://www.instagram.com/p/B7kPkd5lV91/
85,bellster2011,2020-01-21T14:08:33.000Z,Man o man... ✋🏼you OUT #lesliechow ‘d yourself 🕺🏻,1 like,https://www.instagram.com/p/B7kPkd5lV91/
86,tooshayofficial,2020-01-21T14:21:21.000Z,@mike_gee90 the suit,1 like,https://www.instagram.com/p/B7kPkd5lV91/
87,thegoldenboy68,2020-01-21T15:45:40.000Z,💯,Reply,https://www.instagram.com/p/B7kPkd5lV91/
88,abk0423,2020-01-21T17:03:12.000Z,Love that suit!!🔥,Reply,https://www.instagram.com/p/B7kPkd5lV91/
89,debaroona,2020-01-21T17:24:18.000Z,@kenjeong love the blazer and suit ensemble !!!! 🙌🙌🤩🤩,Reply,https://www.instagram.com/p/B7kPkd5lV91/
